algo.id,ref.id,algo.desc,algo.representation,algo.operator.unary,algo.operator.binary,system.cpu.name,system.cpu.n,system.cpu.cores,system.cpu.threads,system.cpu.mhz,system.runs.are.parallel,system.memory.mb,system.os.name,system.vm.name,system.compiler.name,system.programming.language.name,system.external.tools.list,notes
ABC-ASS,ASS2014ABCAAFTJSSP,ABC,OO,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
ACO-SA,AMCS2014UMHDICPREPDJSS,ACO+SA+TS,OO,NA,NA,Intel Core i3,1,2,4,2270,FALSE,3072,NA,NA,NA,Octave,NA,NA
AIS-PSO-hybrid,QL2014AABHAFSSSP,AIS+PSO+LS,OB,reverse+swap+PSO,NA,Intel Core 2 Quad Q9400,1,4,4,2660,FALSE,2048,Microsoft Windows XP Professional,NA,NA,NA,NA,NA
Alg5,PSV2010SJSSPUTPOBABV,SA,NA,N4+N1,NA,Intel Pentium,1,1,1,2800,FALSE,512,NA,NA,NA,C,NA,NA
AlgFix,PSV2010SJSSPUTPOBABV,SA,NA,N4+N2,NA,Intel Pentium,1,1,1,2800,FALSE,512,NA,NA,NA,C,NA,NA
AlgFix-or-Alg5,S2019JSSPH,SA,NA,NA,NA,Intel Pentium,1,1,1,2800,FALSE,512,NA,NA,NA,C,NA,NA
aLSGA,A2015ALSGAFTJSSPWIA,EA+LS,OB,swap+insert+inverse,PMX,Intel Core 2 Duo,1,2,2,2930,FALSE,2048,NA,NA,NA,Java,JADE multi-agent platform, implemented in the JADE multi-agent platform
AMGA,WCL2016AAMPGAFJSSP,multi-population EA+LS,OB,LS based on RWN for 3 indices,OX,NA,1,NA,NA,NA,FALSE,4096,NA,NA,NA,VC,NA,NA
ANHGA,PPH2012AONNGAFMSITJSS,EA+Niching (modified sharing),OB,adaptive swap,OX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,for multimodal optimization
BBO-WD,WD2014AHBBOAFJSSP,BBO,OB,NA,NA,Intel Core i3,1,2,4,2400,FALSE,4096,Microsoft Windows 7,NA,NA,Matlab,NA,NA
BeFABC,SSS2018BFABCAFJSSP,ABC,RK+OB,NA,NA,NA,1,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
BFO-NA,NA2012AHBFAFSJSSP,BFO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFW-BestHybrid,BFW2011CCPALSFJSS,TS (i-STS) + CP (SGS),NA,N5,NA,AMD Opteron 270,1,2,2,2048,FALSE,20248,Red Hat Enterprise Linux 4,NA,GCC,C++,ILOG Scheduler 6.5,NA
bottle,AC1991ACSOTJSSP,heuristic,NA,NA,NA,LSI Logic RISC,1,1,1,20,FALSE,64,SunOS,NA,NA,C,NA,run on Sun SPARCstation 1
bottle4,AC1991ACSOTJSSP,heuristic,NA,NA,NA,LSI Logic RISC,1,1,1,20,FALSE,64,SunOS,NA,NA,C,NA,run on Sun SPARCstation 1
